[Node 0] Packet: 70, RX: UDP, Port: 49153, Time: 2.01627, Size: 1052, Offset=0
[Node 0] Packet: 71, TX: UDP, Port: 9, Time: 2.1, Size: 1052, Offset=0
[Node 1] Packet: 71, RX: UDP, Port: 9, Time: 2.10271, Size: 1052, Offset=0
[Node 1] Packet: 71, TX: UDP, Port: 9, Time: 2.10271, Size: 1052, Offset=0
[Node 4] Packet: 71, RX: UDP, Port: 9, Time: 2.10542, Size: 1052, Offset=0
[Node 4] Packet: 71, TX: UDP, Port: 9, Time: 2.10542, Size: 1052, Offset=0
[Node 5] Packet: 71, RX: UDP, Port: 9, Time: 2.10814, Size: 1052, Offset=0
[Node 5] Packet: 71, TX: UDP, Port: 49153, Time: 2.10814, Size: 1052, Offset=0
[Node 4] Packet: 71, RX: UDP, Port: 49153, Time: 2.11085, Size: 1052, Offset=0
[Node 4] Packet: 71, TX: UDP, Port: 49153, Time: 2.11085, Size: 1052, Offset=0
[Node 1] Packet: 71, RX: UDP, Port: 49153, Time: 2.11356, Size: 1052, Offset=0
[Node 1] Packet: 71, TX: UDP, Port: 49153, Time: 2.11356, Size: 1052, Offset=0
[Node 0] Packet: 71, RX: UDP, Port: 49153, Time: 2.11627, Size: 1052, Offset=0
[Node 0] Packet: 72, TX: UDP, Port: 9, Time: 2.2, Size: 1052, Offset=0
[Node 1] Packet: 72, RX: UDP, Port: 9, Time: 2.20271, Size: 1052, Offset=0
[Node 1] Packet: 72, TX: UDP, Port: 9, Time: 2.20271, Size: 1052, Offset=0
[Node 4] Packet: 72, RX: UDP, Port: 9, Time: 2.20542, Size: 1052, Offset=0
[Node 4] Packet: 72, TX: UDP, Port: 9, Time: 2.20542, Size: 1052, Offset=0
[Node 5] Packet: 72, RX: UDP, Port: 9, Time: 2.20814, Size: 1052, Offset=0
[Node 5] Packet: 72, TX: UDP, Port: 49153, Time: 2.20814, Size: 1052, Offset=0
[Node 4] Packet: 72, RX: UDP, Port: 49153, Time: 2.21085, Size: 1052, Offset=0
[Node 4] Packet: 72, TX: UDP, Port: 49153, Time: 2.21085, Size: 1052, Offset=0
[Node 1] Packet: 72, RX: UDP, Port: 49153, Time: 2.21356, Size: 1052, Offset=0
[Node 1] Packet: 72, TX: UDP, Port: 49153, Time: 2.21356, Size: 1052, Offset=0
[Node 0] Packet: 72, RX: UDP, Port: 49153, Time: 2.21627, Size: 1052, Offset=0
[Node 0] Packet: 73, TX: UDP, Port: 9, Time: 2.3, Size: 1052, Offset=0
[Node 1] Packet: 73, RX: UDP, Port: 9, Time: 2.30271, Size: 1052, Offset=0
[Node 1] Packet: 73, TX: UDP, Port: 9, Time: 2.30271, Size: 1052, Offset=0
[Node 4] Packet: 73, RX: UDP, Port: 9, Time: 2.30542, Size: 1052, Offset=0
[Node 4] Packet: 73, TX: UDP, Port: 9, Time: 2.30542, Size: 1052, Offset=0
[Node 5] Packet: 73, RX: UDP, Port: 9, Time: 2.30814, Size: 1052, Offset=0
[Node 5] Packet: 73, TX: UDP, Port: 49153, Time: 2.30814, Size: 1052, Offset=0
[Node 4] Packet: 73, RX: UDP, Port: 49153, Time: 2.31085, Size: 1052, Offset=0
[Node 4] Packet: 73, TX: UDP, Port: 49153, Time: 2.31085, Size: 1052, Offset=0
[Node 1] Packet: 73, RX: UDP, Port: 49153, Time: 2.31356, Size: 1052, Offset=0
[Node 1] Packet: 73, TX: UDP, Port: 49153, Time: 2.31356, Size: 1052, Offset=0
[Node 0] Packet: 73, RX: UDP, Port: 49153, Time: 2.31627, Size: 1052, Offset=0
[Node 0] Packet: 74, TX: UDP, Port: 9, Time: 2.4, Size: 1052, Offset=0
[Node 4] Packet: 75, TX: UDP, Port: 520, Time: 2.40148, Size: 132, Offset=0
[Node 4] Packet: 76, TX: UDP, Port: 520, Time: 2.40148, Size: 132, Offset=0
[Node 4] Packet: 77, TX: UDP, Port: 520, Time: 2.40148, Size: 132, Offset=0
[Node 1] Packet: 74, RX: UDP, Port: 9, Time: 2.40271, Size: 1052, Offset=0
[Node 1] Packet: 74, TX: UDP, Port: 9, Time: 2.40271, Size: 1052, Offset=0
[Node 5] Packet: 75, RX: UDP, Port: 520, Time: 2.40272, Size: 132, Offset=0
[Node 1] Packet: 76, RX: UDP, Port: 520, Time: 2.40272, Size: 132, Offset=0
[Node 3] Packet: 77, RX: UDP, Port: 520, Time: 2.40272, Size: 132, Offset=0
[Node 4] Packet: 74, RX: UDP, Port: 9, Time: 2.40544, Size: 1052, Offset=0
[Node 4] Packet: 74, TX: UDP, Port: 9, Time: 2.40544, Size: 1052, Offset=0
[Node 5] Packet: 74, RX: UDP, Port: 9, Time: 2.40816, Size: 1052, Offset=0
[Node 5] Packet: 74, TX: UDP, Port: 49153, Time: 2.40816, Size: 1052, Offset=0
[Node 4] Packet: 74, RX: UDP, Port: 49153, Time: 2.41087, Size: 1052, Offset=0
[Node 4] Packet: 74, TX: UDP, Port: 49153, Time: 2.41087, Size: 1052, Offset=0
[Node 1] Packet: 74, RX: UDP, Port: 49153, Time: 2.41358, Size: 1052, Offset=0
[Node 1] Packet: 74, TX: UDP, Port: 49153, Time: 2.41358, Size: 1052, Offset=0
[Node 0] Packet: 74, RX: UDP, Port: 49153, Time: 2.41629, Size: 1052, Offset=0
[Node 0] Packet: 78, TX: UDP, Port: 9, Time: 2.5, Size: 1052, Offset=0
[Node 1] Packet: 78, RX: UDP, Port: 9, Time: 2.50271, Size: 1052, Offset=0
[Node 1] Packet: 78, TX: UDP, Port: 9, Time: 2.50271, Size: 1052, Offset=0
[Node 4] Packet: 78, RX: UDP, Port: 9, Time: 2.50542, Size: 1052, Offset=0
[Node 4] Packet: 78, TX: UDP, Port: 9, Time: 2.50542, Size: 1052, Offset=0
[Node 5] Packet: 78, RX: UDP, Port: 9, Time: 2.50814, Size: 1052, Offset=0
[Node 5] Packet: 78, TX: UDP, Port: 49153, Time: 2.50814, Size: 1052, Offset=0
[Node 4] Packet: 78, RX: UDP, Port: 49153, Time: 2.51085, Size: 1052, Offset=0
[Node 4] Packet: 78, TX: UDP, Port: 49153, Time: 2.51085, Size: 1052, Offset=0
[Node 1] Packet: 78, RX: UDP, Port: 49153, Time: 2.51356, Size: 1052, Offset=0
[Node 1] Packet: 78, TX: UDP, Port: 49153, Time: 2.51356, Size: 1052, Offset=0
[Node 0] Packet: 78, RX: UDP, Port: 49153, Time: 2.51627, Size: 1052, Offset=0
[Node 0] Packet: 79, TX: UDP, Port: 9, Time: 2.6, Size: 1052, Offset=0
[Node 1] Packet: 79, RX: UDP, Port: 9, Time: 2.60271, Size: 1052, Offset=0
[Node 1] Packet: 79, TX: UDP, Port: 9, Time: 2.60271, Size: 1052, Offset=0
[Node 4] Packet: 79, RX: UDP, Port: 9, Time: 2.60542, Size: 1052, Offset=0
[Node 4] Packet: 79, TX: UDP, Port: 9, Time: 2.60542, Size: 1052, Offset=0
[Node 5] Packet: 79, RX: UDP, Port: 9, Time: 2.60814, Size: 1052, Offset=0
[Node 5] Packet: 79, TX: UDP, Port: 49153, Time: 2.60814, Size: 1052, Offset=0
[Node 4] Packet: 79, RX: UDP, Port: 49153, Time: 2.61085, Size: 1052, Offset=0
[Node 4] Packet: 79, TX: UDP, Port: 49153, Time: 2.61085, Size: 1052, Offset=0
[Node 1] Packet: 79, RX: UDP, Port: 49153, Time: 2.61356, Size: 1052, Offset=0
[Node 1] Packet: 79, TX: UDP, Port: 49153, Time: 2.61356, Size: 1052, Offset=0
[Node 0] Packet: 79, RX: UDP, Port: 49153, Time: 2.61627, Size: 1052, Offset=0
[Node 0] Packet: 80, TX: UDP, Port: 9, Time: 2.7, Size: 1052, Offset=0
[Node 1] Packet: 80, RX: UDP, Port: 9, Time: 2.70271, Size: 1052, Offset=0
[Node 1] Packet: 80, TX: UDP, Port: 9, Time: 2.70271, Size: 1052, Offset=0
[Node 4] Packet: 80, RX: UDP, Port: 9, Time: 2.70542, Size: 1052, Offset=0
[Node 4] Packet: 80, TX: UDP, Port: 9, Time: 2.70542, Size: 1052, Offset=0
[Node 5] Packet: 80, RX: UDP, Port: 9, Time: 2.70814, Size: 1052, Offset=0
[Node 5] Packet: 80, TX: UDP, Port: 49153, Time: 2.70814, Size: 1052, Offset=0
[Node 4] Packet: 80, RX: UDP, Port: 49153, Time: 2.71085, Size: 1052, Offset=0
[Node 4] Packet: 80, TX: UDP, Port: 49153, Time: 2.71085, Size: 1052, Offset=0
[Node 1] Packet: 80, RX: UDP, Port: 49153, Time: 2.71356, Size: 1052, Offset=0
[Node 1] Packet: 80, TX: UDP, Port: 49153, Time: 2.71356, Size: 1052, Offset=0
[Node 0] Packet: 80, RX: UDP, Port: 49153, Time: 2.71627, Size: 1052, Offset=0
[Node 0] Packet: 81, TX: UDP, Port: 9, Time: 2.8, Size: 1052, Offset=0
[Node 1] Packet: 81, RX: UDP, Port: 9, Time: 2.80271, Size: 1052, Offset=0
[Node 1] Packet: 81, TX: UDP, Port: 9, Time: 2.80271, Size: 1052, Offset=0
[Node 4] Packet: 81, RX: UDP, Port: 9, Time: 2.80542, Size: 1052, Offset=0
[Node 4] Packet: 81, TX: UDP, Port: 9, Time: 2.80542, Size: 1052, Offset=0
[Node 5] Packet: 81, RX: UDP, Port: 9, Time: 2.80814, Size: 1052, Offset=0
[Node 5] Packet: 81, TX: UDP, Port: 49153, Time: 2.80814, Size: 1052, Offset=0
[Node 4] Packet: 81, RX: UDP, Port: 49153, Time: 2.81085, Size: 1052, Offset=0
[Node 4] Packet: 81, TX: UDP, Port: 49153, Time: 2.81085, Size: 1052, Offset=0
[Node 1] Packet: 81, RX: UDP, Port: 49153, Time: 2.81356, Size: 1052, Offset=0
[Node 1] Packet: 81, TX: UDP, Port: 49153, Time: 2.81356, Size: 1052, Offset=0
[Node 0] Packet: 81, RX: UDP, Port: 49153, Time: 2.81627, Size: 1052, Offset=0
[Node 5] Packet: 82, TX: UDP, Port: 520, Time: 2.89838, Size: 132, Offset=0
[Node 4] Packet: 82, RX: UDP, Port: 520, Time: 2.89962, Size: 132, Offset=0
[Node 0] Packet: 83, TX: UDP, Port: 9, Time: 2.9, Size: 1052, Offset=0
[Node 1] Packet: 83, RX: UDP, Port: 9, Time: 2.90271, Size: 1052, Offset=0
[Node 1] Packet: 83, TX: UDP, Port: 9, Time: 2.90271, Size: 1052, Offset=0
[Node 4] Packet: 83, RX: UDP, Port: 9, Time: 2.90542, Size: 1052, Offset=0
[Node 4] Packet: 83, TX: UDP, Port: 9, Time: 2.90542, Size: 1052, Offset=0
[Node 5] Packet: 83, RX: UDP, Port: 9, Time: 2.90814, Size: 1052, Offset=0
[Node 5] Packet: 83, TX: UDP, Port: 49153, Time: 2.90814, Size: 1052, Offset=0
[Node 4] Packet: 83, RX: UDP, Port: 49153, Time: 2.91085, Size: 1052, Offset=0
[Node 4] Packet: 83, TX: UDP, Port: 49153, Time: 2.91085, Size: 1052, Offset=0
[Node 1] Packet: 83, RX: UDP, Port: 49153, Time: 2.91356, Size: 1052, Offset=0
[Node 1] Packet: 83, TX: UDP, Port: 49153, Time: 2.91356, Size: 1052, Offset=0
[Node 0] Packet: 83, RX: UDP, Port: 49153, Time: 2.91627, Size: 1052, Offset=0
[Node 0] Packet: 84, TX: UDP, Port: 9, Time: 3, Size: 1052, Offset=0
[Node 1] Packet: 84, RX: UDP, Port: 9, Time: 3.00271, Size: 1052, Offset=0
[Node 1] Packet: 84, TX: UDP, Port: 9, Time: 3.00271, Size: 1052, Offset=0
[Node 4] Packet: 84, RX: UDP, Port: 9, Time: 3.00542, Size: 1052, Offset=0
[Node 4] Packet: 84, TX: UDP, Port: 9, Time: 3.00542, Size: 1052, Offset=0
[Node 5] Packet: 84, RX: UDP, Port: 9, Time: 3.00814, Size: 1052, Offset=0
[Node 5] Packet: 84, TX: UDP, Port: 49153, Time: 3.00814, Size: 1052, Offset=0
[Node 4] Packet: 84, RX: UDP, Port: 49153, Time: 3.01085, Size: 1052, Offset=0
[Node 4] Packet: 84, TX: UDP, Port: 49153, Time: 3.01085, Size: 1052, Offset=0
[Node 1] Packet: 84, RX: UDP, Port: 49153, Time: 3.01356, Size: 1052, Offset=0
[Node 1] Packet: 84, TX: UDP, Port: 49153, Time: 3.01356, Size: 1052, Offset=0
[Node 0] Packet: 84, RX: UDP, Port: 49153, Time: 3.01627, Size: 1052, Offset=0
[Node 0] Packet: 85, TX: UDP, Port: 9, Time: 3.1, Size: 1052, Offset=0
[Node 1] Packet: 85, RX: UDP, Port: 9, Time: 3.10271, Size: 1052, Offset=0
[Node 1] Packet: 85, TX: UDP, Port: 9, Time: 3.10271, Size: 1052, Offset=0
[Node 4] Packet: 85, RX: UDP, Port: 9, Time: 3.10542, Size: 1052, Offset=0
[Node 4] Packet: 85, TX: UDP, Port: 9, Time: 3.10542, Size: 1052, Offset=0
[Node 5] Packet: 85, RX: UDP, Port: 9, Time: 3.10814, Size: 1052, Offset=0
[Node 5] Packet: 85, TX: UDP, Port: 49153, Time: 3.10814, Size: 1052, Offset=0
[Node 4] Packet: 85, RX: UDP, Port: 49153, Time: 3.11085, Size: 1052, Offset=0
[Node 4] Packet: 85, TX: UDP, Port: 49153, Time: 3.11085, Size: 1052, Offset=0
[Node 1] Packet: 85, RX: UDP, Port: 49153, Time: 3.11356, Size: 1052, Offset=0
[Node 1] Packet: 85, TX: UDP, Port: 49153, Time: 3.11356, Size: 1052, Offset=0
[Node 0] Packet: 85, RX: UDP, Port: 49153, Time: 3.11627, Size: 1052, Offset=0
[Node 0] Packet: 86, TX: UDP, Port: 520, Time: 3.18226, Size: 132, Offset=0
[Node 0] Packet: 87, TX: UDP, Port: 520, Time: 3.18226, Size: 132, Offset=0
[Node 1] Packet: 86, RX: UDP, Port: 520, Time: 3.1835, Size: 132, Offset=0
[Node 2] Packet: 87, RX: UDP, Port: 520, Time: 3.1835, Size: 132, Offset=0
[Node 0] Packet: 88, TX: UDP, Port: 9, Time: 3.2, Size: 1052, Offset=0
[Node 1] Packet: 88, RX: UDP, Port: 9, Time: 3.20271, Size: 1052, Offset=0
[Node 1] Packet: 88, TX: UDP, Port: 9, Time: 3.20271, Size: 1052, Offset=0
[Node 4] Packet: 88, RX: UDP, Port: 9, Time: 3.20542, Size: 1052, Offset=0
[Node 4] Packet: 88, TX: UDP, Port: 9, Time: 3.20542, Size: 1052, Offset=0
[Node 5] Packet: 88, RX: UDP, Port: 9, Time: 3.20814, Size: 1052, Offset=0
[Node 5] Packet: 88, TX: UDP, Port: 49153, Time: 3.20814, Size: 1052, Offset=0
[Node 4] Packet: 88, RX: UDP, Port: 49153, Time: 3.21085, Size: 1052, Offset=0
[Node 4] Packet: 88, TX: UDP, Port: 49153, Time: 3.21085, Size: 1052, Offset=0
[Node 1] Packet: 88, RX: UDP, Port: 49153, Time: 3.21356, Size: 1052, Offset=0
[Node 1] Packet: 88, TX: UDP, Port: 49153, Time: 3.21356, Size: 1052, Offset=0
[Node 0] Packet: 88, RX: UDP, Port: 49153, Time: 3.21627, Size: 1052, Offset=0
[Node 0] Packet: 89, TX: UDP, Port: 9, Time: 3.3, Size: 1052, Offset=0
[Node 1] Packet: 89, RX: UDP, Port: 9, Time: 3.30271, Size: 1052, Offset=0
[Node 1] Packet: 89, TX: UDP, Port: 9, Time: 3.30271, Size: 1052, Offset=0
[Node 4] Packet: 89, RX: UDP, Port: 9, Time: 3.30542, Size: 1052, Offset=0
[Node 4] Packet: 89, TX: UDP, Port: 9, Time: 3.30542, Size: 1052, Offset=0
[Node 5] Packet: 89, RX: UDP, Port: 9, Time: 3.30814, Size: 1052, Offset=0
[Node 5] Packet: 89, TX: UDP, Port: 49153, Time: 3.30814, Size: 1052, Offset=0
[Node 4] Packet: 89, RX: UDP, Port: 49153, Time: 3.31085, Size: 1052, Offset=0
[Node 4] Packet: 89, TX: UDP, Port: 49153, Time: 3.31085, Size: 1052, Offset=0
[Node 1] Packet: 89, RX: UDP, Port: 49153, Time: 3.31356, Size: 1052, Offset=0
[Node 1] Packet: 89, TX: UDP, Port: 49153, Time: 3.31356, Size: 1052, Offset=0
[Node 0] Packet: 89, RX: UDP, Port: 49153, Time: 3.31627, Size: 1052, Offset=0
[Node 0] Packet: 90, TX: UDP, Port: 9, Time: 3.4, Size: 1052, Offset=0
[Node 1] Packet: 90, RX: UDP, Port: 9, Time: 3.40271, Size: 1052, Offset=0
[Node 1] Packet: 90, TX: UDP, Port: 9, Time: 3.40271, Size: 1052, Offset=0
[Node 4] Packet: 90, RX: UDP, Port: 9, Time: 3.40542, Size: 1052, Offset=0
[Node 4] Packet: 90, TX: UDP, Port: 9, Time: 3.40542, Size: 1052, Offset=0
[Node 5] Packet: 90, RX: UDP, Port: 9, Time: 3.40814, Size: 1052, Offset=0
[Node 5] Packet: 90, TX: UDP, Port: 49153, Time: 3.40814, Size: 1052, Offset=0
[Node 4] Packet: 90, RX: UDP, Port: 49153, Time: 3.41085, Size: 1052, Offset=0
[Node 4] Packet: 90, TX: UDP, Port: 49153, Time: 3.41085, Size: 1052, Offset=0
[Node 1] Packet: 90, RX: UDP, Port: 49153, Time: 3.41356, Size: 1052, Offset=0
