Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
14,127,TX,UDP,520,2.1924,152,0,192.166.1.35,192.166.1.36
11,102,RX,UDP,520,2.1926,172,0,192.166.1.95,192.166.1.96
11,102,TX,UDP,520,2.1926,172,0,192.166.1.95,192.166.1.96
14,131,RX,UDP,520,2.19268,172,0,192.166.1.43,192.166.1.44
14,131,TX,UDP,520,2.19268,172,0,192.166.1.43,192.166.1.44
11,161,RX,UDP,520,2.19291,192,0,192.166.1.17,192.166.1.18
11,161,TX,UDP,520,2.19291,192,0,192.166.1.17,192.166.1.18
11,164,RX,UDP,520,2.19312,132,0,192.166.1.52,192.166.1.51
11,164,TX,UDP,520,2.19312,132,0,192.166.1.52,192.166.1.51
13,118,RX,UDP,520,2.19316,232,0,192.166.1.67,192.166.1.68
13,118,TX,UDP,520,2.19316,232,0,192.166.1.67,192.166.1.68
14,153,RX,UDP,520,2.19318,312,0,192.166.1.28,192.166.1.27
14,153,TX,UDP,520,2.19318,312,0,192.166.1.28,192.166.1.27
11,165,RX,UDP,520,2.1934,172,0,192.166.1.58,192.166.1.57
11,165,TX,UDP,520,2.1934,172,0,192.166.1.58,192.166.1.57
14,112,RX,UDP,520,2.19365,292,0,192.166.1.88,192.166.1.87
14,112,TX,UDP,520,2.19365,292,0,192.166.1.88,192.166.1.87
11,151,RX,UDP,520,2.19374,212,0,192.166.1.22,192.166.1.21
11,151,TX,UDP,520,2.19374,212,0,192.166.1.22,192.166.1.21
11,45,RX,UDP,520,2.19402,172,0,192.166.1.80,192.166.1.79
11,45,TX,UDP,520,2.19402,172,0,192.166.1.80,192.166.1.79
14,43,RX,UDP,520,2.19402,232,0,192.166.1.84,192.166.1.83
14,43,TX,UDP,520,2.19402,232,0,192.166.1.84,192.166.1.83
12,154,RX,UDP,520,2.19403,232,0,192.166.1.20,192.166.1.19
12,154,TX,UDP,520,2.19403,232,0,192.166.1.20,192.166.1.19
14,150,RX,UDP,520,2.1944,172,0,192.166.1.16,192.166.1.15
14,150,TX,UDP,520,2.1944,172,0,192.166.1.16,192.166.1.15
11,149,RX,UDP,520,2.19449,292,0,192.166.1.26,192.166.1.25
11,149,TX,UDP,520,2.19449,292,0,192.166.1.26,192.166.1.25
14,155,RX,UDP,520,2.19473,152,0,192.166.1.14,192.166.1.13
14,155,TX,UDP,520,2.19473,152,0,192.166.1.14,192.166.1.13
11,99,RX,UDP,520,2.19477,172,0,192.166.1.9,192.166.1.10
11,99,TX,UDP,520,2.19477,172,0,192.166.1.9,192.166.1.10
14,96,RX,UDP,520,2.19504,132,0,192.166.1.81,192.166.1.82
14,96,TX,UDP,520,2.19504,132,0,192.166.1.81,192.166.1.82
11,160,RX,UDP,520,2.19511,212,0,192.166.1.54,192.166.1.53
11,160,TX,UDP,520,2.19511,212,0,192.166.1.54,192.166.1.53
13,46,RX,UDP,520,2.19519,252,0,192.166.1.51,192.166.1.52
13,46,TX,UDP,520,2.19519,252,0,192.166.1.51,192.166.1.52
